Subject info,Project,Project 1,,,,,
,First Name,,,,,,
,Last Name,Kehlin trial,,,,,
,Sex,Male,,,,,
,Date of birth,,,,,,
,,,,,,,
Record info,Name,Homer Technique,,,,,
,Date Measured,6/15/2018 10:51,,,,,
,Number of periods,1,,,,,
,,,,,,,
Analyzed Signal,"Time, s",,"TIB.ANT. RT, uV","PERONEUS RT, uV","LAT. GASTRO RT, uV","MED. GASTRO RT, uV","Homer Technique, phases"
,119.8787,,-6.4183,6.54199,8.391,5.25936,1
,119.8793,,-6.78298,11.7441,-9.9203,-1.49252,1
,119.88,,-3.7197,28.769,1.36832,-24.3779,1
,119.8807,,-1.53164,42.5624,11.7514,-29.8504,1
,119.8813,,-1.89632,40.6707,5.9562,-17.9813,1
,119.882,,-1.89632,17.8131,1.36832,15.2806,1
,119.8827,,-1.53164,-20.0201,10.524,75.1236,1
,119.8833,,-1.53164,-43.8235,23.04,103.766,1
,119.884,,-1.89632,-35.6263,22.1144,68.0874,1
,119.8847,,-2.4798,-16.7097,14.4881,30.5612,1
,119.8853,,-2.77154,-2.60103,14.7899,23.8093,1
,119.886,,-2.4798,5.91144,11.7514,1.56359,1
,119.8867,,-2.4798,8.03956,-9.61846,-29.8504,1
,119.8873,,-2.4798,10.7982,-29.1572,-27.434,1
,119.888,,-0.364676,17.4979,-26.7023,-15.2095,1
,119.8887,,0.875223,16.6309,-20.6052,-18.9053,1
,119.8893,,0,5.59616,-21.5107,-16.4177,1
,119.89,,0.291741,-10.5618,-8.391,-7.88904,1
,119.8907,,0.291741,-26.7197,11.4496,-12.5088,1
,119.8913,,-2.18806,-21.2812,9.29651,-14.9252,1
,119.892,,-1.53164,0.709373,-7.78733,-6.9651,1
,119.8927,,2.11512,3.78332,-16.3393,-7.88904,1
,119.8933,,2.99035,-6.93609,-16.3393,-11.2294,1
,119.894,,2.11512,-6.62081,-14.81,-2.41646,1
,119.8947,,0.875223,-3.54686,-13.8844,5.54365,1
,119.8953,,-1.2399,-8.11838,-12.3551,16.4888,1
,119.896,,-0.656417,-13.6357,-7.78733,52.8068,1
,119.8967,,2.11512,-15.1333,-4.12507,82.444,1
,119.8973,,2.11512,-7.25137,-1.99211,57.4265,1
,119.898,,0,8.67011,11.4496,5.82794,1
,119.8987,,1.16696,14.7392,31.8939,-17.0574,1
,119.8993,,2.11512,7.72428,32.7994,0.639652,1
,119.9,,-1.2399,1.97048,12.9588,44.2781,1
,119.9007,,-4.30318,0.394096,1.36832,78.464,1
,119.9013,,-1.53164,0.394096,6.86171,64.4627,1
,119.902,,1.4587,2.83749,7.46538,14.0723,1
,119.9027,,-0.656417,3.15277,-4.12507,-24.6621,1
,119.9033,,-3.42796,-1.10347,-11.4496,-38.0948,1
,119.904,,-1.53164,-3.23159,-5.03058,-56.7158,1
,119.9047,,1.16696,-1.41875,5.33241,-97.9378,1
,119.9053,,0.875223,-2.60103,8.99467,-120.539,1
